Station Name;Channel Name;Channel Nr;Date Time;Value;Status
WLT-01;Vlaga 01;127;1.9.2017 0:00;27,4;0
WLT-01;Vlaga 02;128;1.9.2017 0:00;24,5;0
WLT-01;Vlaga 03;129;1.9.2017 0:00;30;0
WLT-02;Vlaga 04;127;1.9.2017 0:00;25,8;0
WLT-02;Vlaga 05;128;1.9.2017 0:00;20,9;0
WLT-02;Vlaga 06;129;1.9.2017 0:00;1,5;0
WLT-03;Vlaga 07;127;1.9.2017 0:00;31,4;0
WLT-03;Vlaga 08;128;1.9.2017 0:00;29,5;0
WLT-03;Vlaga 09;129;1.9.2017 0:00;23,8;0
WLT-04;Vlaga 10;127;1.9.2017 0:00;27,6;0
WLT-04;Vlaga 11;128;1.9.2017 0:00;27,9;0
WLT-04;Vlaga 12;129;1.9.2017 0:00;30;0
WLT-05;Vlaga 13;127;1.9.2017 0:00;32;0
WLT-05;Vlaga 14;128;1.9.2017 0:00;36,5;0
WLT-05;Vlaga 15;129;1.9.2017 0:00;30,7;0
WLT-06;Vlaga 16;127;1.9.2017 0:00;29,1;0
WLT-06;Vlaga 17;128;1.9.2017 0:00;27,7;0
WLT-06;Vlaga 18;129;1.9.2017 0:00;29,6;0
WLT-01;Vlaga 01;127;1.9.2017 1:00;27,6;0
WLT-01;Vlaga 02;128;1.9.2017 1:00;24,5;0
WLT-01;Vlaga 03;129;1.9.2017 1:00;30;0
WLT-02;Vlaga 04;127;1.9.2017 1:00;25,9;0
WLT-02;Vlaga 05;128;1.9.2017 1:00;20,9;0
WLT-02;Vlaga 06;129;1.9.2017 1:00;1,5;0
WLT-03;Vlaga 07;127;1.9.2017 1:00;31,4;0
WLT-03;Vlaga 08;128;1.9.2017 1:00;29,6;0
WLT-03;Vlaga 09;129;1.9.2017 1:00;23,8;0
WLT-04;Vlaga 10;127;1.9.2017 1:00;27,6;0
WLT-04;Vlaga 11;128;1.9.2017 1:00;28;0
WLT-04;Vlaga 12;129;1.9.2017 1:00;30;0
WLT-05;Vlaga 13;127;1.9.2017 1:00;32;0
WLT-05;Vlaga 14;128;1.9.2017 1:00;36,5;0
WLT-05;Vlaga 15;129;1.9.2017 1:00;30,7;0
WLT-06;Vlaga 16;127;1.9.2017 1:00;29,2;0
WLT-06;Vlaga 17;128;1.9.2017 1:00;27,8;0
WLT-06;Vlaga 18;129;1.9.2017 1:00;29,6;0
WLT-01;Vlaga 01;127;1.9.2017 2:00;27,6;0
WLT-01;Vlaga 02;128;1.9.2017 2:00;24,5;0
